window_category,total_bookings,cancelled,shows,cancel_rate_pct,show_rate_pct
30+ days,1,1,0,100.0,0.0
<7 days,47,37,14,78.72340425531915,29.78723404255319
Unknown,13,0,2,0.0,15.384615384615385
