studio,bookings,attended,upcoming,cancelled,no_show,rescheduled,show_rate_pct
StretchLab Shreveport,33,10,4,19,0,0,34.48
StretchLab Bunker Hill,13,2,1,8,0,2,20.0
StretchLab Bellaire,7,4,0,3,0,0,57.14
StretchLab Cherry Street,7,1,0,5,1,0,14.29
StretchLab Heights,6,2,1,3,0,0,40.0
StretchLab Pearland,4,2,0,2,0,0,50.0
StretchLab Brighton,3,3,0,0,0,0,100.0
StretchLab River Oaks,3,1,0,2,0,0,33.33
StretchLab South Tulsa,3,1,1,1,0,0,50.0
StretchLab Clarkston,2,0,0,2,0,0,0.0
